Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground
RA Jadeja,10,0,48,1,4.8,1,Australia,Sydney
RA Jadeja,10,1,49,1,4.9,1,Australia,Adelaide
RA Jadeja,9,0,53,0,5.88,1,Australia,Melbourne
RA Jadeja,10,0,33,0,3.3,1,Australia,Hyderabad
RA Jadeja,10,0,48,1,4.8,2,Australia,Nagpur
RA Jadeja,10,0,64,0,6.4,1,Australia,Ranchi
RA Jadeja,10,0,45,2,4.5,1,Australia,Delhi
RA Jadeja,10,0,40,1,4,1,Sri Lanka,Leeds
RA Jadeja,10,0,34,1,3.4,1,New Zealand,Manchester
RA Jadeja,8,0,41,0,5.12,2,Australia,Wankhede
RA Jadeja,10,0,58,2,5.8,2,Australia,Rajkot
RA Jadeja,10,1,44,2,4.4,1,Australia,Bengaluru
RA Jadeja,10,0,64,0,6.4,2,New Zealand,Hamilton
RA Jadeja,10,0,35,1,3.5,1,New Zealand,Auckland
RA Jadeja,10,0,45,1,4.5,2,New Zealand,Mount Maunganui
RA Jadeja,10,0,63,0,6.3,1,Australia,Sydney
RA Jadeja,10,0,60,0,6,1,Australia,Sydney
RA Jadeja,10,0,62,1,6.2,2,Australia,Canberra
RA Jadeja,5,0,17,0,3.4,1,England,Lord's
RA Jadeja,4,0,21,1,5.25,1,England,Manchester
RA Jadeja,9,0,46,2,5.11,1,Australia,Wankhede
RA Jadeja,10,0,34,0,3.4,1,Australia,Chennai
RA Jadeja,5,0,26,0,5.2,2,Pakistan,Colombo (RPS)
RA Jadeja,10,0,33,2,3.3,2,Sri Lanka,Colombo (RPS)
RA Jadeja,10,1,53,1,5.3,1,Bangladesh,Colombo (RPS)
RA Jadeja,10,0,51,1,5.1,1,Australia,Mohali
RA Jadeja,5.2,0,42,3,7.87,2,Australia,Indore
RA Jadeja,10,0,61,0,6.1,1,Australia,Rajkot
RA Jadeja,10,2,28,3,2.8,1,Australia,Chennai
RA Jadeja,8,0,38,0,4.75,1,Afghanistan,Delhi
RA Jadeja,9.5,0,38,2,3.86,1,Pakistan,Ahmedabad
RA Jadeja,10,0,38,2,3.8,1,Bangladesh,Pune
RA Jadeja,10,0,48,0,4.8,1,New Zealand,Dharamsala
RA Jadeja,7,1,16,1,2.28,2,England,Lucknow
RA Jadeja,0.4,0,4,1,6,2,Sri Lanka,Wankhede
RA Jadeja,9,1,33,5,3.66,2,South Africa,Eden Gardens
RA Jadeja,9,0,49,2,5.44,2,Netherlands,Bengaluru
RA Jadeja,10,0,63,0,6.3,2,New Zealand,Wankhede
