Player,Runs,,BF,4s,6s,SR,Inns,,Opposition,Ground
Kuldeep Yadav,3,,6,0,0,50,2,,Australia,Sydney
Kuldeep Yadav,15,,33,1,0,45.45,1,,New Zealand,Hamilton
Kuldeep Yadav,3,,3,0,0,100,1,,Australia,Nagpur
Kuldeep Yadav,10,,16,1,0,62.5,2,,Australia,Ranchi
Kuldeep Yadav,8,,12,1,0,66.66,2,,Australia,Delhi
Kuldeep Yadav,17,,15,2,0,113.33,1,,Australia,Wankhede
Kuldeep Yadav,0,,1,0,0,0,2,,South Africa,Lucknow
Kuldeep Yadav,3,,3,0,0,100,1,,Bangladesh,Chattogram
Kuldeep Yadav,10,,10,2,0,100,2,,Sri Lanka,Eden Gardens
Kuldeep Yadav,5,,6,0,0,83.33,1,,New Zealand,Hyderabad
Kuldeep Yadav,3,,3,0,0,100,1,,New Zealand,Indore
Kuldeep Yadav,4,,17,0,0,23.52,1,,Australia,Visakhapatnam
Kuldeep Yadav,6,,15,0,0,40,2,,Australia,Chennai
Kuldeep Yadav,0,,1,0,0,0,1,,Sri Lanka,Colombo (RPS)
Kuldeep Yadav,2,,12,0,0,16.66,2,,Australia,Rajkot
Kuldeep Yadav,9,,13,1,0,69.23,1,,England,Lucknow
